Player Name,Squad,Match Date,Format
PD Salt,England,2024-09-27,ODI
BM Duckett,England,2024-09-27,ODI
WG Jacks,England,2024-09-27,ODI
HC Brook,England,2024-09-27,ODI
JL Smith,England,2024-09-27,ODI
LS Livingstone,England,2024-09-27,ODI
JG Bethell,England,2024-09-27,ODI
BA Carse,England,2024-09-27,ODI
AU Rashid,England,2024-09-27,ODI
MJ Potts,England,2024-09-27,ODI
JC Archer,England,2024-09-27,ODI
MR Marsh,Australia,2024-09-27,ODI
TM Head,Australia,2024-09-27,ODI
SPD Smith,Australia,2024-09-27,ODI
JP Inglis,Australia,2024-09-27,ODI
M Labuschagne,Australia,2024-09-27,ODI
AT Carey,Australia,2024-09-27,ODI
GJ Maxwell,Australia,2024-09-27,ODI
SA Abbott,Australia,2024-09-27,ODI
MA Starc,Australia,2024-09-27,ODI
A Zampa,Australia,2024-09-27,ODI
JR Hazlewood,Australia,2024-09-27,ODI
