Player Name,Squad,Match Date,Format
Sahibzada Farhan,Pakistan,2024-11-18,T20
Babar Azam,Pakistan,2024-11-18,T20
Haseebullah Khan,Pakistan,2024-11-18,T20
Usman Khan,Pakistan,2024-11-18,T20
Agha Salman,Pakistan,2024-11-18,T20
Irfan Khan,Pakistan,2024-11-18,T20
Abbas Afridi,Pakistan,2024-11-18,T20
Jahandad Khan,Pakistan,2024-11-18,T20
Shaheen Shah Afridi,Pakistan,2024-11-18,T20
Haris Rauf,Pakistan,2024-11-18,T20
Sufiyan Muqeem,Pakistan,2024-11-18,T20
MW Short,Australia,2024-11-18,T20
J Fraser-McGurk,Australia,2024-11-18,T20
JP Inglis,Australia,2024-11-18,T20
MP Stoinis,Australia,2024-11-18,T20
TH David,Australia,2024-11-18,T20
GJ Maxwell,Australia,2024-11-18,T20
AM Hardie,Australia,2024-11-18,T20
XC Bartlett,Australia,2024-11-18,T20
NT Ellis,Australia,2024-11-18,T20
SH Johnson,Australia,2024-11-18,T20
A Zampa,Australia,2024-11-18,T20
