Player Name,Squad,Match Date,Format
P Nissanka,Sri Lanka,2024-10-15,T20
BKG Mendis,Sri Lanka,2024-10-15,T20
MDKJ Perera,Sri Lanka,2024-10-15,T20
PHKD Mendis,Sri Lanka,2024-10-15,T20
KIC Asalanka,Sri Lanka,2024-10-15,T20
PBB Rajapaksa,Sri Lanka,2024-10-15,T20
PWH de Silva,Sri Lanka,2024-10-15,T20
DN Wellalage,Sri Lanka,2024-10-15,T20
M Theekshana,Sri Lanka,2024-10-15,T20
M Pathirana,Sri Lanka,2024-10-15,T20
N Thushara,Sri Lanka,2024-10-15,T20
BA King,West Indies,2024-10-15,T20
E Lewis,West Indies,2024-10-15,T20
ADS Fletcher,West Indies,2024-10-15,T20
RL Chase,West Indies,2024-10-15,T20
SE Rutherford,West Indies,2024-10-15,T20
G Motie,West Indies,2024-10-15,T20
R Powell,West Indies,2024-10-15,T20
R Shepherd,West Indies,2024-10-15,T20
SK Springer,West Indies,2024-10-15,T20
AS Joseph,West Indies,2024-10-15,T20
S Joseph,West Indies,2024-10-15,T20
